flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
127.0.0.1:45700<->127.0.0.1:45700,127.0.0.1,45700,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.797932,1670912120.797932,0,0.0,0.0,1670912120.797932,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:54919<->127.0.0.1:54919,127.0.0.1,54919,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.796609,1670912120.796609,0,0.0,0.0,1670912120.796609,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:54478<->127.0.0.1:54478,127.0.0.1,54478,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.795299,1670912120.795299,0,0.0,0.0,1670912120.795299,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:3979<->127.0.0.1:3979,127.0.0.1,3979,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.797254,1670912120.797254,0,0.0,0.0,1670912120.797254,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:29427<->127.0.0.1:29427,127.0.0.1,29427,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.798809,1670912120.798809,0,0.0,0.0,1670912120.798809,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:16579<->127.0.0.1:16579,127.0.0.1,16579,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.799458,1670912120.799458,0,0.0,0.0,1670912120.799458,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:6574<->127.0.0.1:6574,127.0.0.1,6574,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.802203,1670912120.802203,0,0.0,0.0,1670912120.802203,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:61213<->127.0.0.1:61213,127.0.0.1,61213,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.800126,1670912120.800126,0,0.0,0.0,1670912120.800126,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:24069<->127.0.0.1:24069,127.0.0.1,24069,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.802884,1670912120.802884,0,0.0,0.0,1670912120.802884,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
127.0.0.1:10843<->127.0.0.1:10843,127.0.0.1,10843,127.0.0.1,1729,TCP,0,1,1,1,1078,0,1078,1078,1078.0,0.0,0,0,1078.0,0.0,1078.0,1,0.0,0.0,0,0,0,0.0,0.0,1670912120.801525,1670912120.801525,0,0.0,0.0,1670912120.801525,0,0,0,0,0,0,0,1,1,1078,1078,1078.0,0.0,0.0,0,2,0,0,0,0,0,0,1,1078.0,1024.0,1024.0,0,0,0,0,0,0,1.0,1078.0,1.0,0.0,8192,8192,1,1064,0.0,0.0,0.0,0.0,0,0,0,0,None
